source_paper,cited_by
10.1109/ICARCV.2018.8581147,10.1016/j.neucom.2019.10.008
10.2514/1.G003724,10.1007/978-3-030-32304-2_15
10.1007/s10458-019-09421-1,10.1016/j.artint.2019.103216
10.1007/s10458-019-09421-1,10.1109/TCYB.2020.2977374
10.4310/CMS.2019.v17.n5.a11,10.4208/cicp.OA-2020-0085
10.1038/s41598-019-40554-1,10.1038/s41592-019-0622-5
10.1109/ACCESS.2019.2891969,10.1109/IOLTS.2019.8854377
10.1109/ACCESS.2019.2891969,10.1109/IOLTS.2019.8854425
10.1088/2632-2153/abc609,10.22331/q-2019-12-16-215
10.1038/s41598-019-47148-x,10.1073/pnas.1820657116
10.1016/j.neunet.2019.06.009,10.1016/j.neunet.2019.07.011
10.1016/j.neunet.2019.06.009,10.1162/neco_a_01195
10.1109/ICHI.2019.8904728,10.1093/jamia/ocz085
10.1145/3097983.3098184,10.1145/3320496.3320500
10.1088/1751-8121/ab4c8b,10.1088/1742-5468/ab633c
10.1088/1751-8121/ab4c8b,10.1073/pnas.1903070116
10.1088/1751-8121/ab4c8b,10.1103/PhysRevE.100.012115
10.1093/mnras/stz575,10.1093/mnras/stz602
10.1145/3237192,10.1007/978-3-030-30493-5_63
10.1088/1742-5468/ab3456,10.1109/TNNLS.2020.2978386
10.1145/3357384.3357925,10.24963/ijcai.2020/375
10.1016/j.jcp.2019.05.008,10.1016/j.jcp.2019.108925
10.1016/j.ascom.2019.03.004,10.1073/pnas.1821458116
10.1109/ICECAI62591.2024.10674750,10.1109/ICECAI62591.2024.10674884
10.1029/2018GL080404,10.1029/2018WR024638
10.1016/j.inffus.2017.02.010,10.1007/s10489-019-01421-8
10.1016/j.inffus.2017.02.010,10.1016/j.patcog.2018.07.037
10.1007/s10115-017-1145-y,10.1016/j.ins.2018.10.052
10.1109/IJCNN.2011.6033350,10.1016/j.patcog.2018.07.037
10.1109/IJCNN.2011.6033350,10.1016/j.inffus.2017.02.010
10.1109/IJCNN.2011.6033350,10.1109/IJCNN.2017.7966355
10.1109/IJCNN.2011.6033350,10.1016/j.patcog.2014.12.003
10.1109/IJCNN.2011.6033350,10.1109/ICPR.2014.221
10.1109/IJCNN.2017.7966355,10.1016/j.patcog.2018.07.037
10.1109/IOLTS.2019.8854425,10.1109/IOLTS.2019.8854377
10.18653/v1/P19-1309,10.1162/tacl_a_00288
10.1186/s41546-020-00047-w,10.1080/1350486X.2022.2030773
10.1109/FIT.2018.00064,10.1109/IOLTS.2019.8854377
10.1109/FIT.2018.00064,10.1109/IOLTS.2019.8854425
10.1109/BigData.2018.8621990,10.1007/s10618-019-00619-1
10.1109/ICPR.2014.221,10.1007/s10489-019-01421-8
10.1109/ICPR.2014.221,10.1016/j.inffus.2017.02.010
10.1109/ICPR.2014.221,10.1109/IJCNN.2017.7966355
10.1371/journal.pcbi.1007129,10.1002/minf.202000212
10.1093/mnras/stz602,10.1093/mnras/stz575
10.1016/j.jcp.2019.05.027,10.1016/j.jcp.2019.05.024
10.1109/ACCESS.2019.2903568,10.13140/RG.2.2.21979.62244
10.1016/j.ins.2018.07.040,10.1016/j.ins.2018.11.057
10.1016/j.jcp.2019.06.042,10.1016/j.jcp.2019.108925
10.1016/j.jcp.2019.06.042,10.1016/j.jcp.2020.109278
10.1016/j.jcp.2019.06.042,10.1115/1.4044507
10.1145/3203217.3203282,10.1145/3403572
10.1109/ICASSP.2019.8682790,10.1109/ICASSP.2019.8682713
10.1038/s41746-019-0112-2,10.1038/s41591-019-0539-7
10.1038/s41746-019-0112-2,10.1038/s41467-019-13922-8
10.1038/s41377-019-0139-9,10.1038/s41592-019-0622-5
10.1038/s41377-019-0139-9,10.1038/s41598-019-40554-1
10.1016/j.jcp.2019.06.041,10.1016/j.jcp.2019.05.053
10.1561/2200000071,10.1007/s10458-019-09421-1
10.1109/BigData.2018.8622151,10.3390/make1010016
10.1109/IJCNN.2018.8489690,10.1007/978-3-030-30493-5_63
10.1051/0004-6361/201833800,10.1093/mnras/stz915
10.1109/JIOT.2019.2908019,10.1109/COMST.2021.3053615
10.1016/j.jcp.2019.108925,10.1007/s11425-019-9547-2
10.1016/j.jcp.2019.108925,10.1016/j.jcp.2020.109278
10.3390/make1040060,10.3390/make2010004
10.1098/rsfs.2018.0083,10.1016/j.jcp.2019.05.053
10.1007/978-3-319-93034-3_3,10.1007/978-3-319-98131-4_4
10.13140/RG.2.2.18688.89602,10.13140/RG.2.2.32101.65765
10.1016/j.eswa.2018.06.034,10.1016/j.artmed.2019.101758
10.14569/IJACSA.2019.0100582,10.1111/coin.12277
10.26502/acbr.50170058,10.3844/ajeassp.2018.1310.1319
10.26502/acbr.50170058,10.3844/ajeassp.2018.1320.1331
10.1016/j.trc.2018.08.007,10.1109/ITSC.2019.8916878
10.1109/TITS.2018.2817879,10.1016/j.trc.2018.08.007
10.1109/TPAMI.2016.2635136,10.1109/TITS.2018.2817879
10.1109/TPAMI.2016.2635136,10.1016/j.trc.2018.08.007
10.1007/s10994-020-05895-3,10.1109/IJCNN52387.2021.9534228
10.13140/RG.2.2.18890.00965,10.3844/ajeassp.2018.1310.1319
10.13140/RG.2.2.18890.00965,10.3844/ajeassp.2018.1320.1331
10.13140/RG.2.2.32311.78245,10.3844/ajeassp.2018.1310.1319
10.13140/RG.2.2.32311.78245,10.3844/ajeassp.2018.1320.1331
10.3844/ajeassp.2018.1310.1319,10.3844/ajeassp.2018.1320.1331
10.3844/ajeassp.2018.1320.1331,10.3844/ajeassp.2018.1310.1319
10.1109/TCYB.2020.2977374,10.1007/s10458-019-09421-1
10.1162/EVCO_a_00118,10.1109/TNNLS.2016.2551748
10.1109/TCYB.2019.2932096,10.1109/TNNLS.2020.2978386
10.1088/1742-5468/ab633c,10.1088/1751-8121/ab4c8b
10.1088/1742-5468/ab633c,10.1103/PhysRevE.100.012115
10.1109/TCYB.2018.2871503,10.1109/TCYB.2019.2932096
10.1093/nsr/nwz190,10.1109/TMECH.2020.2971503
10.1103/PhysRevB.99.155131,10.3390/e21121236
10.1007/s10994-019-05864-5,10.1007/s10458-019-09421-1
10.3233/IDA-163209,10.6092/polito/porto/2709436
10.1073/pnas.1900654116,10.1016/j.trb.2020.08.006
10.1016/j.trc.2019.11.022,10.1016/j.trb.2020.08.006
10.1080/01621459.2020.1745812,10.3982/ECTA16901
10.1073/pnas.1901326117,10.1073/pnas.1905688116
10.1109/ICOSC.2019.8665646,10.1109/ICOSC.2019.8665546
10.1109/ICOSC.2019.8665546,10.1109/ICOSC.2019.8665646
10.1145/3287560.3287572,10.1145/3465416.3483305
10.1038/s41598-019-48444-2,10.1038/s41592-019-0622-5
10.1504/IJOGCT.2021.10035077,10.1504/IJOGCT.2021.10035081
10.1016/j.artint.2019.103216,10.1007/s10458-019-09421-1
10.3390/s19040974,10.1007/978-3-030-55304-3_14
10.1109/TNNLS.2019.2952029,10.1109/BigData52589.2021.9671861
10.1109/GlobalSIP.2016.7906054,10.1109/TSP.2020.2977458
10.1109/CEC.2016.7748347,10.1108/IMDS-02-2018-0072
